Crop,Variety,Type,Altitude_min (m),Altitude_max (m),Rainfall_min (mm),Rainfall_max (mm),Temp_min (°C),Temp_max (°C),Opt_humidity_min (%),Opt_humidity_max (%),Extreme_weather_risks,Pest_disease_risks,High_risk_regions
Maize,DH01,Dryland,500,1300,300,600,22,35,50,70,"Drought, heat waves","Leaf blight, rust, spider mites","Machakos, Kitui, Kibwezi"
Maize,DH02,Dryland,500,1300,350,650,20,34,55,75,"Early dry spells","MSV, aphids","Makueni, Karachuonyo"
Maize,H624,Lowland,800,1700,800,1500,18,30,70,85,"Excess rainfall","Grey Leaf Spot, lodging","Bungoma, Kakamega"
Maize,H6213,Highland,1500,2800,800,1500,10,26,60,75,"Cold nights, fog","Blight, ear rot","Kericho, Trans-Nzoia"
Wheat,KS Mwamba,Highland,1800,2400,600,1200,10,25,60,75,"Late rains","Stem rust, sprouting","Nakuru, Uasin Gishu"
Wheat,Duma,Lowland,1000,2000,300,600,15,30,55,70,"Heat waves","Lodging, yellow rust","Semi-arid counties"
Sunflower,Kenya Fedha,All altitudes,12,2000,400,800,20,35,45,65,"Drought","Bird invasion, stem rot","Eastern, Rift Valley"
Sunflower,Hagos,Lowland,12,2000,300,600,22,38,40,60,"Extreme heat","Head rot, termites","Coastal, Turkana"
Sorghum,Serena,Lowland,0,1500,300,600,25,40,50,70,"Erratic rains","Striga, shoot fly","Kitui, Makueni"
Sorghum,Gadam,Coastal,0,1000,250,500,28,42,45,65,"High humidity","Rust, grain mold","Lamu, Kilifi"
Beans,GLP 2,Mid-altitude,1000,2000,600,1200,15,25,65,80,"Heavy rains","Anthracnose, BCMV","Central, Western"
Beans,Kenya Mavuno,Highland,1200,2300,800,2000,12,28,70,85,"Cold spells","Halo blight, root rot","Rift Valley highlands"
Pasture,Boma Rhodes,Highland,1000,2500,700,1500,15,28,65,80,"Waterlogging","Leaf spot, armyworms","Central highlands"
Pasture,Desmodium,All altitudes,0,3000,500,2000,10,35,60,85,"Drought","Nematodes, leaf miners","Nationwide"
Rice,Nerica 1,Lowland,0,1700,800,1500,20,35,70,90,"Floods","Blast, rice bugs","Western, Nyanza"
Finger Millet,P 224,Highland,1150,1750,500,1000,18,30,60,75,"Frost","Blast, birds","Western highlands"
